bike_id,driver_id,trip_id,sensor_ts,latitude,longitude,speed_kmh,heading,accel_x,accel_y,accel_z,engine_state
MK003,DRV04,TRIP019,2026-03-25 18:44:39,0.334405,32.567655,35.7,74.74,0.341,-0.252,0.05,on
MK001,DRV03,TRIP017,2026-03-25 18:44:44,0.334525,32.568558,18.61,27.27,0.378,0.2,-0.132,on
MK003,DRV04,TRIP009,2026-03-25 18:44:49,0.335429,32.569316,18.32,105.1,0.469,-0.0,0.139,on
MK002,DRV03,TRIP015,2026-03-25 18:44:54,0.335508,32.569045,22.24,90.16,-0.302,0.384,-0.05,idle
MK004,DRV04,TRIP017,2026-03-25 18:44:59,0.334363,32.568264,35.87,118.72,-0.006,-0.348,0.088,on
MK002,DRV01,TRIP008,2026-03-25 18:45:04,0.334842,32.568202,21.41,14.31,0.019,0.074,0.175,on
MK004,DRV02,TRIP018,2026-03-25 18:45:09,0.334849,32.569013,15.31,49.3,0.218,-0.015,-0.19,idle
MK004,DRV01,TRIP017,2026-03-25 18:45:14,0.335301,32.569005,22.63,356.33,-2.872,-0.547,-0.059,idle
MK003,DRV03,TRIP004,2026-03-25 18:45:19,0.334832,32.568805,9.2,255.29,-2.776,-0.504,-0.097,on
MK001,DRV04,TRIP014,2026-03-25 18:45:24,0.334789,32.567924,42.7,246.3,-0.153,-0.336,-0.075,idle
MK001,DRV02,TRIP004,2026-03-25 18:45:29,0.334553,32.568023,42.5,206.43,-0.491,-0.15,-0.159,idle
MK003,DRV04,TRIP002,2026-03-25 18:45:34,0.335176,32.568531,31.4,270.92,0.106,0.208,0.082,idle
MK001,DRV02,TRIP011,2026-03-25 18:45:39,0.334708,32.568516,8.13,61.02,0.451,0.062,0.157,idle
MK004,DRV01,TRIP008,2026-03-25 18:45:44,0.335132,32.569001,42.3,328.51,-0.044,0.307,0.099,idle
MK003,DRV02,TRIP004,2026-03-25 18:45:49,0.334827,32.56886,44.56,324.26,-0.262,-0.103,-0.1,on
MK003,DRV02,TRIP013,2026-03-25 18:45:54,0.334974,32.569177,40.66,339.77,0.43,0.038,-0.16,idle
MK003,DRV02,TRIP019,2026-03-25 18:45:59,0.334337,32.56866,18.44,230.14,0.083,0.283,-0.077,idle
MK004,DRV03,TRIP003,2026-03-25 18:46:04,0.334433,32.568464,27.31,305.09,-0.249,0.474,0.178,on
MK003,DRV03,TRIP018,2026-03-25 18:46:09,0.334634,32.567812,12.95,211.91,-0.27,-0.444,0.041,idle
MK001,DRV04,TRIP017,2026-03-25 18:46:14,0.335598,32.568738,14.98,171.77,-3.325,-0.782,-0.068,idle
MK004,DRV03,TRIP007,2026-03-25 18:46:19,0.335079,32.56827,40.59,316.87,-0.108,0.339,0.025,idle
MK004,DRV01,TRIP012,2026-03-25 18:46:24,0.334408,32.567779,11.46,179.42,0.354,-0.017,0.117,on
MK001,DRV03,TRIP006,2026-03-25 18:46:29,0.335095,32.568487,19.9,14.58,-0.112,0.445,-0.095,on
MK001,DRV01,TRIP003,2026-03-25 18:46:34,0.334486,32.568301,22.21,323.52,-3.437,-0.887,-0.188,on
MK004,DRV02,TRIP018,2026-03-25 18:46:39,0.334771,32.568027,33.23,358.15,0.084,0.145,0.158,on
MK004,DRV02,TRIP005,2026-03-25 18:46:44,0.334366,32.568569,16.34,213.34,-3.171,-0.516,-0.097,on
MK001,DRV01,TRIP020,2026-03-25 18:46:49,0.334678,32.567805,23.91,188.47,-0.421,0.298,0.128,on
MK001,DRV04,TRIP007,2026-03-25 18:46:54,0.334634,32.568332,21.74,192.09,0.261,0.376,-0.156,idle
MK001,DRV03,TRIP009,2026-03-25 18:46:59,0.334001,32.568003,23.04,341.11,-0.098,-0.191,0.128,idle
MK004,DRV04,TRIP016,2026-03-25 18:47:04,0.334087,32.568299,6.64,77.22,0.264,-0.254,-0.129,idle
MK001,DRV01,TRIP016,2026-03-25 18:47:09,0.334225,32.567689,33.18,200.46,-0.498,0.11,0.009,on
MK004,DRV03,TRIP020,2026-03-25 18:47:14,0.334554,32.568574,42.71,89.0,0.239,0.332,-0.08,on
MK004,DRV03,TRIP017,2026-03-25 18:47:19,0.334314,32.568544,20.81,242.86,0.5,-0.473,0.114,idle
MK003,DRV01,TRIP005,2026-03-25 18:47:24,0.335509,32.568603,40.28,336.05,-0.302,-0.007,0.133,idle
MK002,DRV04,TRIP019,2026-03-25 18:47:29,0.334223,32.568007,15.8,210.64,-0.069,-0.274,-0.018,on
MK002,DRV03,TRIP001,2026-03-25 18:47:34,0.335451,32.568649,35.19,263.24,-2.835,-0.335,-0.056,idle
MK004,DRV04,TRIP019,2026-03-25 18:47:39,0.334313,32.568501,41.83,112.81,-0.166,0.342,0.034,idle
MK001,DRV03,TRIP009,2026-03-25 18:47:44,0.335069,32.568557,23.8,57.84,0.18,-0.081,0.024,on
MK004,DRV04,TRIP008,2026-03-25 18:47:49,0.334445,32.567866,43.82,330.56,-3.029,-0.35,-0.071,on
MK003,DRV04,TRIP013,2026-03-25 18:47:54,0.335122,32.568773,6.76,167.26,0.036,-0.097,-0.173,on
MK003,DRV02,TRIP015,2026-03-25 18:47:59,0.335177,32.568671,34.61,133.59,-0.116,-0.208,0.147,idle
MK002,DRV02,TRIP001,2026-03-25 18:48:04,0.334784,32.568013,39.3,2.84,-0.283,-0.281,0.031,on
MK002,DRV02,TRIP001,2026-03-25 18:48:09,0.334779,32.568247,20.31,310.3,0.103,0.065,-0.047,idle
MK001,DRV04,TRIP019,2026-03-25 18:48:14,0.334622,32.568568,31.17,294.88,0.393,0.216,-0.161,idle
MK003,DRV02,TRIP001,2026-03-25 18:48:19,0.335011,32.568213,31.47,81.49,-0.329,-0.183,0.078,idle
MK004,DRV02,TRIP009,2026-03-25 18:48:24,0.334606,32.568008,20.79,79.19,-3.384,-0.692,-0.032,on
MK001,DRV01,TRIP009,2026-03-25 18:48:29,0.334085,32.567765,38.25,112.89,-0.118,-0.105,-0.017,on
MK001,DRV02,TRIP019,2026-03-25 18:48:34,0.334299,32.568048,18.5,194.4,-3.464,-0.724,0.097,idle
MK001,DRV02,TRIP013,2026-03-25 18:48:39,0.334885,32.568302,39.06,50.93,-3.006,-0.629,0.172,on
MK003,DRV04,TRIP011,2026-03-25 18:48:44,0.334904,32.568274,13.95,127.9,0.392,-0.02,-0.119,on
MK001,DRV04,TRIP003,2026-03-25 18:48:49,0.335169,32.568674,11.29,143.88,0.09,-0.139,-0.001,on
MK002,DRV01,TRIP006,2026-03-25 18:48:54,0.335109,32.56816,14.56,143.19,0.131,-0.215,0.026,on
MK003,DRV03,TRIP013,2026-03-25 18:48:59,0.33441,32.567881,11.74,245.0,-2.732,-0.528,-0.018,on
MK003,DRV01,TRIP016,2026-03-25 18:49:04,0.334326,32.56834,42.8,324.61,0.068,0.492,-0.067,idle
MK004,DRV04,TRIP018,2026-03-25 18:49:09,0.334294,32.568223,17.17,70.08,-3.313,-0.268,0.054,idle
MK001,DRV04,TRIP008,2026-03-25 18:49:14,0.33445,32.568865,15.49,204.8,-0.102,0.047,0.066,idle
MK003,DRV01,TRIP004,2026-03-25 18:49:19,0.334334,32.568033,5.68,320.66,-0.105,0.182,-0.144,idle
MK003,DRV02,TRIP020,2026-03-25 18:49:24,0.334979,32.568737,16.56,312.26,0.302,0.092,0.066,on
MK001,DRV01,TRIP014,2026-03-25 18:49:29,0.334396,32.568444,23.23,301.98,-0.48,-0.006,0.002,on
MK003,DRV01,TRIP015,2026-03-25 18:49:34,0.334772,32.568017,27.31,305.2,-3.471,-0.947,-0.095,on
MK001,DRV01,TRIP004,2026-03-25 18:49:39,0.334439,32.567837,22.91,24.17,-2.974,-0.963,-0.032,idle
MK002,DRV01,TRIP005,2026-03-25 18:49:44,0.334225,32.56833,19.46,90.42,-0.082,-0.071,-0.102,idle
MK003,DRV03,TRIP010,2026-03-25 18:49:49,0.33476,32.568293,23.62,71.48,-0.441,-0.359,0.16,on
MK003,DRV02,TRIP002,2026-03-25 18:49:54,0.334387,32.568016,21.24,255.73,0.353,-0.369,0.083,idle
MK001,DRV02,TRIP016,2026-03-25 18:49:59,0.334044,32.567707,41.75,2.99,-0.324,0.449,-0.118,idle
MK002,DRV01,TRIP015,2026-03-25 18:50:04,0.334437,32.568222,33.01,87.09,-0.494,0.222,0.015,idle
MK003,DRV04,TRIP018,2026-03-25 18:50:09,0.33459,32.568303,30.27,308.78,-3.226,-0.652,0.023,idle
MK004,DRV02,TRIP008,2026-03-25 18:50:14,0.334759,32.568429,43.09,273.35,-0.112,0.376,0.026,on
MK001,DRV01,TRIP020,2026-03-25 18:50:19,0.334229,32.567966,13.8,214.74,-0.262,-0.315,0.037,on
MK003,DRV04,TRIP007,2026-03-25 18:50:24,0.334986,32.569182,41.38,109.65,0.214,-0.034,-0.18,on
MK004,DRV04,TRIP016,2026-03-25 18:50:29,0.334096,32.568032,5.32,257.27,-0.264,0.134,0.189,on
MK002,DRV04,TRIP013,2026-03-25 18:50:34,0.334574,32.568432,39.62,257.67,0.296,0.109,-0.128,idle
MK003,DRV04,TRIP012,2026-03-25 18:50:39,0.334684,32.568001,34.75,295.12,-3.127,-0.295,0.061,idle
MK003,DRV04,TRIP002,2026-03-25 18:50:44,0.335266,32.568868,30.4,131.46,-0.241,-0.1,-0.005,idle
MK003,DRV04,TRIP009,2026-03-25 18:50:49,0.334843,32.568303,18.94,143.24,-0.13,0.144,-0.101,idle
MK003,DRV02,TRIP014,2026-03-25 18:50:54,0.334817,32.568252,24.0,84.18,0.487,-0.204,-0.045,idle
MK003,DRV02,TRIP002,2026-03-25 18:50:59,0.334945,32.569372,31.79,279.68,-3.332,-0.352,0.189,idle
MK002,DRV04,TRIP015,2026-03-25 18:51:04,0.334379,32.567815,38.07,31.41,-0.237,0.063,0.192,idle
MK004,DRV03,TRIP020,2026-03-25 18:51:09,0.334004,32.568167,28.36,205.87,0.148,0.296,0.017,on
MK003,DRV03,TRIP020,2026-03-25 18:51:14,0.334766,32.56807,31.58,250.5,0.009,-0.326,0.141,idle
MK003,DRV04,TRIP003,2026-03-25 18:51:19,0.334632,32.568295,7.69,182.9,-3.321,-0.366,0.09,on
MK001,DRV03,TRIP015,2026-03-25 18:51:24,0.334117,32.568374,34.14,184.93,0.161,-0.18,-0.158,idle
MK003,DRV04,TRIP019,2026-03-25 18:51:29,0.335545,32.568736,23.93,246.3,-0.441,-0.386,-0.116,idle
MK004,DRV03,TRIP020,2026-03-25 18:51:34,0.334816,32.569141,22.14,27.53,-2.657,-0.224,-0.1,on
